Wavelength (nm)	n (exp.)	k (exp.)
458	2.02679	2.83649
459	2.03389	2.84042
460	2.04101	2.84429
461	2.04814	2.8481
462	2.05531	2.85185
463	2.06249	2.85554
464	2.06969	2.85917
465	2.07692	2.86274
466	2.08415	2.86625
467	2.09141	2.8697
468	2.09868	2.87309
469	2.10596	2.87641
470	2.11326	2.87967
471	2.12056	2.88287
472	2.12788	2.886
473	2.1352	2.88907
474	2.14254	2.89208
475	2.14988	2.89502
476	2.15722	2.8979
477	2.16457	2.90071
478	2.17192	2.90346
479	2.17927	2.90615
480	2.18662	2.90877
481	2.19398	2.91132
482	2.20132	2.91381
483	2.20867	2.91624
484	2.21601	2.9186
485	2.22334	2.9209
486	2.23067	2.92313
487	2.23799	2.9253
488	2.2453	2.9274
489	2.25259	2.92944
490	2.25988	2.93142
491	2.26715	2.93334
492	2.2744	2.93519
493	2.28165	2.93698
494	2.28887	2.93871
495	2.29607	2.94037
496	2.30326	2.94198
497	2.31043	2.94352
498	2.31757	2.94501
499	2.32469	2.94644
500	2.33179	2.9478
501	2.33887	2.94911
502	2.34591	2.95037
503	2.35293	2.95156
504	2.35993	2.9527
505	2.36689	2.95378
506	2.37383	2.95481
507	2.38073	2.95579
508	2.38761	2.95671
509	2.39445	2.95758
510	2.40126	2.95839
511	2.40803	2.95916
512	2.41478	2.95988
513	2.42148	2.96055
514	2.42815	2.96116
515	2.43478	2.96174
516	2.44138	2.96226
517	2.44793	2.96274
518	2.45445	2.96318
519	2.46093	2.96357
520	2.46737	2.96392
521	2.47377	2.96422
522	2.48012	2.96449
523	2.48644	2.96472
524	2.49271	2.9649
525	2.49894	2.96505
526	2.50513	2.96517
527	2.51127	2.96524
528	2.51738	2.96529
529	2.52343	2.96529
530	2.52945	2.96527
531	2.53542	2.96521
532	2.54134	2.96512
533	2.54722	2.965
534	2.55305	2.96486
535	2.55884	2.96468
536	2.56459	2.96448
537	2.57028	2.96425
538	2.57593	2.964
539	2.58154	2.96372
540	2.5871	2.96342
541	2.59262	2.9631
542	2.59809	2.96275
543	2.60351	2.96239
544	2.60889	2.962
545	2.61422	2.9616
546	2.61951	2.96118
547	2.62475	2.96075
548	2.62995	2.96029
549	2.6351	2.95982
550	2.6402	2.95934
551	2.64526	2.95885
552	2.65028	2.95834
553	2.65525	2.95782
554	2.66018	2.95729
555	2.66506	2.95676
556	2.66991	2.95621
557	2.6747	2.95565
558	2.67946	2.95509
559	2.68417	2.95452
560	2.68884	2.95394
561	2.69347	2.95336
562	2.69805	2.95277
563	2.7026	2.95218
564	2.7071	2.95158
565	2.71157	2.95099
566	2.71599	2.95039
567	2.72037	2.94979
568	2.72472	2.94918
569	2.72902	2.94858
570	2.73329	2.94798
571	2.73752	2.94738
572	2.74171	2.94678
573	2.74587	2.94618
574	2.74998	2.94558
575	2.75407	2.94499
576	2.75811	2.9444
577	2.76212	2.94382
578	2.7661	2.94324
579	2.77004	2.94266
580	2.77395	2.94209
581	2.77783	2.94152
582	2.78167	2.94096
583	2.78548	2.94041
584	2.78926	2.93986
585	2.793	2.93932
586	2.79672	2.93879
587	2.80041	2.93826
588	2.80406	2.93774
589	2.80769	2.93723
590	2.81129	2.93673
591	2.81486	2.93624
592	2.8184	2.93576
593	2.82191	2.93528
594	2.8254	2.93482
595	2.82886	2.93436
596	2.8323	2.93392
597	2.83571	2.93348
598	2.83909	2.93306
599	2.84245	2.93264
600	2.84579	2.93223
601	2.8491	2.93184
602	2.85239	2.93146
603	2.85566	2.93108
604	2.85891	2.93072
605	2.86213	2.93037
606	2.86533	2.93003
607	2.86851	2.9297
608	2.87167	2.92939
609	2.87481	2.92908
610	2.87794	2.92879
611	2.88104	2.9285
612	2.88412	2.92823
613	2.88719	2.92797
614	2.89024	2.92772
615	2.89327	2.92748
616	2.89628	2.92726
617	2.89928	2.92704
618	2.90226	2.92684
619	2.90522	2.92665
620	2.90817	2.92647
621	2.91111	2.9263
622	2.91403	2.92614
623	2.91693	2.92599
624	2.91982	2.92586
625	2.9227	2.92574
626	2.92556	2.92562
627	2.92841	2.92552
628	2.93125	2.92543
629	2.93408	2.92535
630	2.93689	2.92528
631	2.93969	2.92522
632	2.94248	2.92518
633	2.94526	2.92514
634	2.94803	2.92511
635	2.95079	2.9251
636	2.95353	2.92509
637	2.95627	2.9251
638	2.959	2.92511
639	2.96172	2.92514
640	2.96443	2.92517
641	2.96712	2.92522
642	2.96982	2.92527
643	2.9725	2.92533
644	2.97517	2.92541
645	2.97784	2.92549
646	2.9805	2.92558
647	2.98315	2.92568
648	2.98579	2.92579
649	2.98843	2.92591
650	2.99106	2.92604
651	2.99368	2.92617
652	2.9963	2.92632
653	2.99891	2.92647
654	3.00151	2.92663
655	3.00411	2.9268
656	3.0067	2.92697
657	3.00928	2.92716
658	3.01186	2.92735
659	3.01444	2.92755
660	3.01701	2.92775
661	3.01957	2.92797
662	3.02213	2.92819
663	3.02469	2.92842
664	3.02724	2.92865
665	3.02978	2.92889
666	3.03233	2.92914
667	3.03486	2.92939
668	3.0374	2.92965
669	3.03993	2.92992
670	3.04245	2.93019
671	3.04497	2.93047
672	3.04749	2.93075
673	3.05001	2.93104
674	3.05252	2.93133
675	3.05502	2.93163
676	3.05753	2.93193
677	3.06003	2.93224
678	3.06253	2.93256
679	3.06502	2.93288
680	3.06752	2.9332
681	3.07	2.93353
682	3.07249	2.93386
683	3.07497	2.93419
684	3.07746	2.93453
685	3.07993	2.93488
686	3.08241	2.93523
687	3.08488	2.93558
688	3.08736	2.93593
689	3.08982	2.93629
690	3.09229	2.93665
691	3.09475	2.93702
692	3.09722	2.93739
693	3.09968	2.93776
694	3.10213	2.93813
695	3.10459	2.93851
696	3.10704	2.93889
697	3.10949	2.93927
698	3.11194	2.93965
699	3.11439	2.94004
700	3.11684	2.94042
701	3.11928	2.94081
702	3.12172	2.94121
703	3.12416	2.9416
704	3.1266	2.94199
705	3.12904	2.94239
706	3.13147	2.94279
707	3.1339	2.94319
708	3.13633	2.94359
709	3.13876	2.94399
710	3.14119	2.9444
711	3.14362	2.9448
712	3.14604	2.94521
713	3.14846	2.94561
714	3.15088	2.94602
715	3.1533	2.94643
716	3.15572	2.94683
717	3.15813	2.94724
718	3.16055	2.94765
719	3.16296	2.94806
720	3.16537	2.94847
721	3.16777	2.94888
722	3.17018	2.94929
723	3.17258	2.9497
724	3.17499	2.95011
725	3.17739	2.95051
726	3.17978	2.95092
727	3.18218	2.95133
728	3.18458	2.95174
729	3.18697	2.95215
730	3.18936	2.95255
731	3.19175	2.95296
732	3.19414	2.95336
733	3.19652	2.95377
734	3.19891	2.95417
735	3.20129	2.95458
736	3.20367	2.95498
737	3.20604	2.95538
738	3.20842	2.95578
739	3.21079	2.95618
740	3.21316	2.95657
741	3.21553	2.95697
742	3.2179	2.95736
743	3.22026	2.95776
744	3.22262	2.95815
745	3.22499	2.95854
746	3.22734	2.95893
747	3.2297	2.95932
748	3.23205	2.9597
749	3.2344	2.96009
750	3.23675	2.96047
751	3.2391	2.96085
752	3.24144	2.96123
753	3.24378	2.9616
754	3.24612	2.96198
755	3.24845	2.96235
756	3.25079	2.96272
757	3.25312	2.96309
758	3.25545	2.96346
759	3.25777	2.96382
760	3.2601	2.96419
761	3.26242	2.96455
762	3.26473	2.96491
763	3.26705	2.96526
764	3.26936	2.96562
765	3.27167	2.96597
766	3.27397	2.96632
767	3.27628	2.96666
768	3.27858	2.96701
769	3.28088	2.96735
770	3.28317	2.96769
771	3.28546	2.96803
772	3.28775	2.96836
773	3.29003	2.96869
774	3.29231	2.96902
775	3.29459	2.96935
776	3.29687	2.96968
777	3.29914	2.97
778	3.30141	2.97032
779	3.30368	2.97063
780	3.30594	2.97095
781	3.3082	2.97126
782	3.31045	2.97157
783	3.3127	2.97187
784	3.31495	2.97218
785	3.31719	2.97248
786	3.31944	2.97278
787	3.32167	2.97307
788	3.32391	2.97336
789	3.32614	2.97365
790	3.32836	2.97394
791	3.33059	2.97423
792	3.33281	2.97451
793	3.33502	2.97479
794	3.33723	2.97506
795	3.33944	2.97533
796	3.34165	2.9756
797	3.34385	2.97587
798	3.34604	2.97614
799	3.34823	2.9764
800	3.35042	2.97666
801	3.35261	2.97691
802	3.35479	2.97717
803	3.35696	2.97742
804	3.35913	2.97767
805	3.3613	2.97791
806	3.36346	2.97815
807	3.36562	2.97839
808	3.36778	2.97863
809	3.36993	2.97886
810	3.37207	2.97909
811	3.37421	2.97932
812	3.37635	2.97954
813	3.37848	2.97977
814	3.38061	2.97998
815	3.38274	2.9802
816	3.38485	2.98041
817	3.38697	2.98062
818	3.38908	2.98083
819	3.39119	2.98104
820	3.39329	2.98124
821	3.39538	2.98144
822	3.39748	2.98164
823	3.39956	2.98183
824	3.40164	2.98202
825	3.40372	2.98221
826	3.4058	2.9824
827	3.40786	2.98258
828	3.40993	2.98276
829	3.41199	2.98294
830	3.41404	2.98311
831	3.41609	2.98329
832	3.41813	2.98346
833	3.42017	2.98362
834	3.4222	2.98379
835	3.42423	2.98395
836	3.42626	2.98411
837	3.42827	2.98427
838	3.43029	2.98442
839	3.4323	2.98457
840	3.4343	2.98472
841	3.4363	2.98487
842	3.43829	2.98501
843	3.44028	2.98515
844	3.44226	2.98529
845	3.44424	2.98543
846	3.44621	2.98556
847	3.44818	2.98569
848	3.45014	2.98582
849	3.4521	2.98595
850	3.45405	2.98607
851	3.45599	2.98619
852	3.45793	2.98631
853	3.45987	2.98643
854	3.4618	2.98655
855	3.46372	2.98666
856	3.46564	2.98677
857	3.46755	2.98688
858	3.46946	2.98698
859	3.47136	2.98709
860	3.47326	2.98719
861	3.47515	2.98729
862	3.47704	2.98738
863	3.47892	2.98748
864	3.48079	2.98757
