Wavelength	n	k
459	2.37621	0.10263
460	2.37451	0.10339
461	2.37284	0.10416
462	2.37118	0.10493
463	2.36954	0.1057
464	2.36791	0.10649
465	2.3663	0.10727
466	2.36471	0.10807
467	2.36314	0.10886
468	2.36158	0.10967
469	2.36004	0.11047
470	2.35852	0.11129
471	2.35701	0.1121
472	2.35551	0.11293
473	2.35404	0.11375
474	2.35257	0.11458
475	2.35113	0.11542
476	2.3497	0.11626
477	2.34828	0.11711
478	2.34688	0.11795
479	2.3455	0.11881
480	2.34413	0.11966
481	2.34277	0.12053
482	2.34143	0.12139
483	2.3401	0.12226
484	2.33879	0.12314
485	2.33749	0.12401
486	2.33621	0.1249
487	2.33494	0.12578
488	2.33368	0.12667
489	2.33244	0.12756
490	2.33121	0.12846
491	2.32999	0.12936
492	2.32879	0.13026
493	2.3276	0.13117
494	2.32643	0.13208
495	2.32527	0.13299
496	2.32412	0.13391
497	2.32298	0.13483
498	2.32186	0.13575
499	2.32075	0.13667
500	2.31965	0.1376
501	2.31857	0.13853
502	2.3175	0.13947
503	2.31644	0.14041
504	2.31539	0.14134
505	2.31436	0.14229
506	2.31333	0.14323
507	2.31232	0.14418
508	2.31133	0.14513
509	2.31034	0.14608
510	2.30936	0.14703
511	2.3084	0.14799
512	2.30745	0.14895
513	2.30651	0.14991
514	2.30558	0.15087
515	2.30467	0.15184
516	2.30376	0.1528
517	2.30287	0.15377
518	2.30199	0.15474
519	2.30112	0.15571
520	2.30025	0.15668
521	2.29941	0.15766
522	2.29857	0.15864
523	2.29774	0.15962
524	2.29692	0.1606
525	2.29612	0.16158
526	2.29532	0.16256
527	2.29454	0.16354
528	2.29376	0.16453
529	2.293	0.16552
530	2.29225	0.1665
531	2.2915	0.16749
532	2.29077	0.16848
533	2.29005	0.16947
534	2.28933	0.17047
535	2.28863	0.17146
536	2.28794	0.17245
537	2.28726	0.17344
538	2.28658	0.17444
539	2.28592	0.17544
540	2.28526	0.17643
541	2.28462	0.17743
542	2.28398	0.17843
543	2.28336	0.17943
544	2.28274	0.18042
545	2.28213	0.18142
546	2.28154	0.18242
547	2.28095	0.18342
548	2.28037	0.18442
549	2.2798	0.18542
550	2.27924	0.18642
551	2.27868	0.18742
552	2.27814	0.18842
553	2.2776	0.18943
554	2.27708	0.19043
555	2.27656	0.19143
556	2.27605	0.19243
557	2.27555	0.19343
558	2.27506	0.19443
559	2.27457	0.19543
560	2.27409	0.19643
561	2.27363	0.19743
562	2.27317	0.19843
563	2.27271	0.19943
564	2.27227	0.20043
565	2.27183	0.20143
566	2.27141	0.20243
567	2.27099	0.20343
568	2.27057	0.20443
569	2.27017	0.20543
570	2.26977	0.20642
571	2.26938	0.20742
572	2.269	0.20842
573	2.26863	0.20941
574	2.26826	0.21041
575	2.2679	0.2114
576	2.26755	0.2124
577	2.2672	0.21339
578	2.26686	0.21438
579	2.26653	0.21537
580	2.26621	0.21637
581	2.26589	0.21735
582	2.26558	0.21835
583	2.26528	0.21933
584	2.26498	0.22032
585	2.26469	0.22131
586	2.26441	0.2223
587	2.26413	0.22328
588	2.26386	0.22427
589	2.2636	0.22525
590	2.26334	0.22623
591	2.26309	0.22722
592	2.26285	0.2282
593	2.26261	0.22918
594	2.26238	0.23016
595	2.26215	0.23114
596	2.26193	0.23211
597	2.26172	0.23309
598	2.26151	0.23407
599	2.26131	0.23504
600	2.26112	0.23602
601	2.26093	0.23699
602	2.26075	0.23796
603	2.26057	0.23893
604	2.2604	0.2399
605	2.26023	0.24087
606	2.26007	0.24183
607	2.25992	0.2428
608	2.25977	0.24377
609	2.25963	0.24473
610	2.25949	0.24569
611	2.25936	0.24666
612	2.25923	0.24762
613	2.25911	0.24858
614	2.25899	0.24954
615	2.25888	0.25049
616	2.25878	0.25145
617	2.25868	0.2524
618	2.25858	0.25336
619	2.25849	0.25431
620	2.25841	0.25526
621	2.25833	0.25621
622	2.25825	0.25716
623	2.25818	0.25811
624	2.25812	0.25906
625	2.25806	0.26
626	2.258	0.26095
627	2.25795	0.26189
628	2.25791	0.26284
629	2.25787	0.26378
630	2.25783	0.26472
631	2.2578	0.26566
632	2.25778	0.2666
633	2.25775	0.26753
634	2.25774	0.26847
635	2.25772	0.2694
636	2.25772	0.27034
637	2.25771	0.27127
638	2.25772	0.2722
639	2.25772	0.27313
640	2.25773	0.27406
641	2.25774	0.27499
642	2.25776	0.27592
643	2.25779	0.27684
644	2.25781	0.27777
645	2.25785	0.27869
646	2.25788	0.27961
647	2.25792	0.28053
648	2.25797	0.28145
649	2.25802	0.28237
650	2.25807	0.28329
651	2.25813	0.28421
652	2.25819	0.28512
653	2.25826	0.28604
654	2.25833	0.28695
655	2.2584	0.28786
656	2.25848	0.28877
657	2.25856	0.28969
658	2.25865	0.29059
659	2.25874	0.2915
660	2.25883	0.29241
661	2.25893	0.29331
662	2.25903	0.29422
663	2.25914	0.29512
664	2.25925	0.29603
665	2.25936	0.29693
666	2.25948	0.29783
667	2.2596	0.29873
668	2.25973	0.29962
669	2.25985	0.30052
670	2.25999	0.30142
671	2.26012	0.30231
672	2.26027	0.30321
673	2.26041	0.3041
674	2.26056	0.30499
675	2.26071	0.30588
676	2.26087	0.30677
677	2.26103	0.30766
678	2.26119	0.30855
679	2.26136	0.30944
680	2.26153	0.31032
681	2.2617	0.31121
682	2.26188	0.31209
683	2.26206	0.31297
684	2.26225	0.31385
685	2.26244	0.31473
686	2.26263	0.31561
687	2.26283	0.31649
688	2.26303	0.31737
689	2.26323	0.31825
690	2.26344	0.31912
691	2.26365	0.31999
692	2.26386	0.32087
693	2.26408	0.32174
694	2.2643	0.32261
695	2.26453	0.32348
696	2.26476	0.32435
697	2.26499	0.32521
698	2.26523	0.32608
699	2.26546	0.32695
700	2.26571	0.32781
701	2.26595	0.32867
702	2.2662	0.32954
703	2.26646	0.3304
704	2.26672	0.33126
705	2.26698	0.33212
706	2.26724	0.33297
707	2.26751	0.33383
708	2.26778	0.33469
709	2.26805	0.33554
710	2.26833	0.33639
711	2.26861	0.33725
712	2.2689	0.3381
713	2.26918	0.33895
714	2.26948	0.3398
715	2.26977	0.34064
716	2.27007	0.34149
717	2.27037	0.34233
718	2.27068	0.34318
719	2.27099	0.34402
720	2.2713	0.34486
721	2.27162	0.3457
722	2.27194	0.34654
723	2.27226	0.34738
724	2.27258	0.34822
725	2.27291	0.34905
726	2.27325	0.34989
727	2.27358	0.35072
728	2.27392	0.35155
729	2.27427	0.35238
730	2.27461	0.35321
731	2.27496	0.35404
732	2.27532	0.35487
733	2.27567	0.35569
734	2.27603	0.35652
735	2.27639	0.35734
736	2.27676	0.35816
737	2.27713	0.35898
738	2.27751	0.3598
739	2.27788	0.36062
740	2.27826	0.36143
741	2.27865	0.36225
742	2.27903	0.36306
743	2.27942	0.36387
744	2.27982	0.36468
745	2.28021	0.36549
746	2.28061	0.3663
747	2.28102	0.3671
748	2.28142	0.36791
749	2.28183	0.36871
750	2.28224	0.36951
751	2.28266	0.37031
752	2.28308	0.37111
753	2.2835	0.37191
754	2.28393	0.37271
755	2.28436	0.3735
756	2.28479	0.37429
757	2.28523	0.37508
758	2.28567	0.37587
759	2.28611	0.37666
760	2.28655	0.37745
761	2.287	0.37823
762	2.28746	0.37901
763	2.28791	0.37979
764	2.28837	0.38057
765	2.28883	0.38135
766	2.2893	0.38213
767	2.28976	0.3829
768	2.29023	0.38368
769	2.29071	0.38445
770	2.29119	0.38522
771	2.29167	0.38598
772	2.29215	0.38675
773	2.29264	0.38751
774	2.29313	0.38827
775	2.29362	0.38904
776	2.29412	0.38979
777	2.29461	0.39055
778	2.29512	0.39131
779	2.29562	0.39206
780	2.29613	0.39281
781	2.29664	0.39356
782	2.29716	0.39431
783	2.29767	0.39505
784	2.2982	0.3958
785	2.29872	0.39654
786	2.29925	0.39727
787	2.29977	0.39801
788	2.30031	0.39875
789	2.30084	0.39948
790	2.30138	0.40021
791	2.30192	0.40094
792	2.30247	0.40167
793	2.30301	0.4024
794	2.30356	0.40312
795	2.30412	0.40384
796	2.30467	0.40456
797	2.30523	0.40528
798	2.30579	0.40599
799	2.30636	0.4067
800	2.30693	0.40741
801	2.3075	0.40812
802	2.30807	0.40883
803	2.30865	0.40953
804	2.30923	0.41023
805	2.30981	0.41093
806	2.31039	0.41163
807	2.31098	0.41232
808	2.31157	0.41302
809	2.31216	0.4137
810	2.31276	0.41439
811	2.31335	0.41508
812	2.31395	0.41576
813	2.31456	0.41644
814	2.31516	0.41712
815	2.31577	0.4178
816	2.31638	0.41847
817	2.317	0.41914
818	2.31761	0.41981
819	2.31823	0.42048
820	2.31886	0.42114
821	2.31948	0.4218
822	2.32011	0.42246
823	2.32074	0.42312
824	2.32137	0.42377
825	2.322	0.42442
826	2.32264	0.42507
827	2.32328	0.42572
828	2.32392	0.42636
829	2.32456	0.42701
830	2.32521	0.42764
831	2.32586	0.42828
832	2.32651	0.42891
833	2.32716	0.42955
834	2.32782	0.43017
835	2.32848	0.4308
836	2.32914	0.43142
837	2.3298	0.43204
838	2.33047	0.43266
839	2.33114	0.43328
840	2.33181	0.43389
841	2.33248	0.4345
842	2.33315	0.43511
843	2.33383	0.43571
844	2.33451	0.43631
845	2.33519	0.43691
846	2.33587	0.43751
847	2.33656	0.4381
848	2.33724	0.4387
849	2.33793	0.43928
850	2.33863	0.43987
851	2.33932	0.44045
852	2.34002	0.44103
853	2.34071	0.44161
854	2.34141	0.44218
855	2.34212	0.44276
856	2.34282	0.44332
857	2.34352	0.44389
858	2.34423	0.44445
859	2.34494	0.44501
860	2.34565	0.44557
861	2.34637	0.44612
862	2.34708	0.44668
863	2.3478	0.44722
864	2.34852	0.44777
865	2.34924	0.44831
866	2.34996	0.44885
867	2.35068	0.44939
868	2.35141	0.44993
869	2.35214	0.45046
870	2.35287	0.45099
871	2.3536	0.45151
872	2.35433	0.45203
873	2.35507	0.45255
874	2.3558	0.45307
875	2.35654	0.45358
876	2.35728	0.4541
877	2.35802	0.4546
878	2.35876	0.45511
879	2.35951	0.45561
880	2.36025	0.45611
881	2.361	0.4566
882	2.36175	0.4571
883	2.3625	0.45759
884	2.36325	0.45808
885	2.364	0.45856
886	2.36476	0.45904
887	2.36551	0.45952
888	2.36627	0.45999
889	2.36703	0.46047
890	2.36779	0.46093
891	2.36855	0.4614
892	2.36931	0.46186
893	2.37007	0.46232
894	2.37084	0.46278
895	2.37161	0.46324
896	2.37237	0.46369
897	2.37314	0.46413
898	2.37391	0.46458
899	2.37468	0.46502
900	2.37546	0.46546
901	2.37623	0.4659
902	2.377	0.46633
903	2.37778	0.46676
904	2.37856	0.46719
905	2.37933	0.46761
906	2.38011	0.46803
907	2.38089	0.46845
908	2.38167	0.46886
909	2.38245	0.46927
910	2.38324	0.46968
911	2.38402	0.47009
912	2.3848	0.47049
913	2.38559	0.47089
914	2.38638	0.47129
915	2.38716	0.47168
916	2.38795	0.47207
917	2.38874	0.47246
918	2.38953	0.47284
919	2.39032	0.47322
920	2.39111	0.4736
921	2.3919	0.47397
922	2.3927	0.47435
923	2.39349	0.47472
924	2.39428	0.47508
925	2.39508	0.47545
926	2.39588	0.4758
927	2.39667	0.47616
928	2.39747	0.47652
929	2.39826	0.47687
930	2.39906	0.47722
931	2.39986	0.47756
932	2.40066	0.4779
933	2.40146	0.47824
934	2.40226	0.47858
935	2.40306	0.47891
936	2.40386	0.47924
937	2.40467	0.47957
938	2.40547	0.47989
939	2.40627	0.48021
940	2.40707	0.48053
941	2.40788	0.48084
942	2.40868	0.48116
943	2.40949	0.48146
944	2.41029	0.48177
945	2.41109	0.48207
946	2.4119	0.48237
947	2.4127	0.48267
948	2.41351	0.48296
949	2.41432	0.48325
950	2.41512	0.48354
951	2.41593	0.48383
952	2.41674	0.48411
953	2.41755	0.48439
954	2.41835	0.48467
955	2.41916	0.48494
956	2.41997	0.48521
957	2.42077	0.48548
958	2.42158	0.48574
959	2.42239	0.48601
960	2.4232	0.48626
961	2.42401	0.48652
962	2.42482	0.48677
963	2.42563	0.48702
964	2.42643	0.48727
965	2.42724	0.48752
966	2.42805	0.48776
967	2.42886	0.488
968	2.42967	0.48823
969	2.43048	0.48847
970	2.43128	0.4887
971	2.43209	0.48892
972	2.4329	0.48915
973	2.43371	0.48937
974	2.43452	0.48959
975	2.43533	0.48981
976	2.43613	0.49002
977	2.43694	0.49023
978	2.43775	0.49044
979	2.43856	0.49064
980	2.43936	0.49084
981	2.44017	0.49105
982	2.44098	0.49124
983	2.44178	0.49144
984	2.44259	0.49163
985	2.4434	0.49182
986	2.4442	0.492
987	2.44501	0.49218
988	2.44581	0.49237
989	2.44662	0.49254
990	2.44742	0.49272
991	2.44823	0.49289
992	2.44903	0.49306
993	2.44984	0.49323
994	2.45064	0.49339
995	2.45144	0.49355
996	2.45225	0.49371
997	2.45305	0.49387
998	2.45385	0.49402
999	2.45465	0.49417
1000	2.45545	0.49432
1001	2.45625	0.49447
1002	2.45705	0.49461
1003	2.45785	0.49475
1004	2.45865	0.49489
1005	2.45945	0.49503
1006	2.46025	0.49516
1007	2.46104	0.49529
1008	2.46184	0.49542
1009	2.46264	0.49554
1010	2.46343	0.49567
1011	2.46423	0.49579
1012	2.46502	0.4959
1013	2.46582	0.49602
1014	2.46661	0.49613
1015	2.4674	0.49624
1016	2.4682	0.49635
1017	2.46899	0.49645
1018	2.46978	0.49656
1019	2.47057	0.49666
1020	2.47136	0.49676
1021	2.47215	0.49685
1022	2.47294	0.49695
1023	2.47372	0.49704
1024	2.47451	0.49712
1025	2.4753	0.49721
1026	2.47608	0.49729
1027	2.47687	0.49738
1028	2.47765	0.49745
1029	2.47844	0.49753
1030	2.47922	0.4976
1031	2.48	0.49767
1032	2.48078	0.49774
1033	2.48156	0.49781
1034	2.48234	0.49788
1035	2.48312	0.49794
1036	2.4839	0.498
1037	2.48468	0.49806
1038	2.48545	0.49811
1039	2.48623	0.49817
1040	2.487	0.49822
1041	2.48778	0.49827
1042	2.48855	0.49831
1043	2.48932	0.49836
1044	2.49009	0.4984
1045	2.49086	0.49844
1046	2.49163	0.49848
1047	2.4924	0.49851
1048	2.49317	0.49854
1049	2.49394	0.49857
