Wavelength	n	k
1330	2.66152	0.45319
1331	2.66194	0.45292
1332	2.66237	0.45266
1333	2.66279	0.4524
1334	2.66321	0.45214
1335	2.66362	0.45188
1336	2.66404	0.45161
1337	2.66446	0.45135
1338	2.66487	0.45109
1339	2.66528	0.45082
1340	2.6657	0.45056
1341	2.66611	0.4503
1342	2.66652	0.45003
1343	2.66693	0.44977
1344	2.66734	0.4495
1345	2.66774	0.44924
1346	2.66815	0.44898
1347	2.66856	0.44871
1348	2.66896	0.44844
1349	2.66936	0.44818
1350	2.66976	0.44791
1351	2.67016	0.44765
1352	2.67056	0.44738
1353	2.67096	0.44712
1354	2.67136	0.44685
1355	2.67176	0.44659
1356	2.67215	0.44632
1357	2.67255	0.44605
1358	2.67294	0.44579
1359	2.67333	0.44552
1360	2.67373	0.44525
1361	2.67412	0.44499
1362	2.6745	0.44472
1363	2.67489	0.44445
1364	2.67528	0.44418
1365	2.67567	0.44392
1366	2.67605	0.44365
1367	2.67644	0.44338
1368	2.67682	0.44311
1369	2.6772	0.44284
1370	2.67758	0.44258
1371	2.67796	0.44231
1372	2.67834	0.44204
1373	2.67872	0.44177
1374	2.6791	0.4415
1375	2.67948	0.44123
1376	2.67985	0.44097
1377	2.68023	0.4407
1378	2.6806	0.44043
1379	2.68097	0.44016
1380	2.68134	0.43989
1381	2.68171	0.43962
1382	2.68208	0.43935
1383	2.68245	0.43908
1384	2.68282	0.43881
1385	2.68318	0.43854
1386	2.68355	0.43827
1387	2.68391	0.438
1388	2.68428	0.43773
1389	2.68464	0.43746
1390	2.685	0.4372
1391	2.68536	0.43693
1392	2.68572	0.43666
1393	2.68608	0.43639
1394	2.68644	0.43612
1395	2.6868	0.43584
1396	2.68715	0.43557
1397	2.6875	0.43531
1398	2.68786	0.43504
1399	2.68821	0.43477
1400	2.68856	0.4345
1401	2.68892	0.43422
1402	2.68927	0.43395
1403	2.68961	0.43368
1404	2.68996	0.43341
1405	2.69031	0.43314
1406	2.69066	0.43287
1407	2.691	0.4326
1408	2.69135	0.43233
1409	2.69169	0.43206
1410	2.69203	0.43179
1411	2.69238	0.43152
1412	2.69272	0.43125
1413	2.69306	0.43098
1414	2.6934	0.43071
1415	2.69373	0.43044
1416	2.69407	0.43017
1417	2.69441	0.4299
1418	2.69474	0.42963
1419	2.69508	0.42935
1420	2.69541	0.42908
1421	2.69575	0.42881
1422	2.69608	0.42854
1423	2.69641	0.42827
1424	2.69674	0.428
1425	2.69707	0.42773
1426	2.6974	0.42746
1427	2.69772	0.42719
1428	2.69805	0.42692
1429	2.69838	0.42665
1430	2.6987	0.42638
1431	2.69903	0.42611
1432	2.69935	0.42584
1433	2.69967	0.42557
1434	2.69999	0.4253
1435	2.70031	0.42503
1436	2.70063	0.42476
1437	2.70095	0.42449
1438	2.70127	0.42422
1439	2.70159	0.42395
1440	2.70191	0.42368
1441	2.70222	0.42341
1442	2.70254	0.42314
1443	2.70285	0.42287
1444	2.70316	0.4226
1445	2.70347	0.42233
1446	2.70378	0.42206
1447	2.7041	0.42179
1448	2.70441	0.42152
1449	2.70471	0.42125
1450	2.70502	0.42098
1451	2.70533	0.42071
1452	2.70564	0.42044
1453	2.70594	0.42017
1454	2.70625	0.4199
1455	2.70655	0.41963
1456	2.70685	0.41936
1457	2.70716	0.41909
1458	2.70746	0.41882
1459	2.70776	0.41856
1460	2.70806	0.41829
1461	2.70836	0.41802
1462	2.70865	0.41775
1463	2.70895	0.41748
1464	2.70925	0.41721
1465	2.70955	0.41694
1466	2.70984	0.41667
1467	2.71014	0.41641
1468	2.71043	0.41614
1469	2.71072	0.41587
1470	2.71101	0.4156
1471	2.7113	0.41533
1472	2.7116	0.41507
1473	2.71189	0.4148
1474	2.71217	0.41453
1475	2.71246	0.41426
1476	2.71275	0.41399
1477	2.71304	0.41373
1478	2.71332	0.41346
1479	2.71361	0.41319
1480	2.71389	0.41292
1481	2.71418	0.41266
1482	2.71446	0.41239
1483	2.71474	0.41212
1484	2.71502	0.41186
1485	2.7153	0.41159
1486	2.71558	0.41132
1487	2.71586	0.41106
1488	2.71614	0.41079
1489	2.71642	0.41052
1490	2.71669	0.41026
1491	2.71697	0.40999
1492	2.71724	0.40973
1493	2.71752	0.40946
1494	2.71779	0.40919
1495	2.71807	0.40893
1496	2.71834	0.40866
1497	2.71861	0.4084
1498	2.71888	0.40813
1499	2.71915	0.40787
1500	2.71942	0.4076
1501	2.71969	0.40734
1502	2.71996	0.40707
1503	2.72022	0.40681
1504	2.72049	0.40654
1505	2.72076	0.40628
1506	2.72102	0.40601
1507	2.72129	0.40575
1508	2.72155	0.40548
1509	2.72181	0.40522
1510	2.72207	0.40496
1511	2.72234	0.40469
1512	2.7226	0.40443
1513	2.72286	0.40417
1514	2.72312	0.4039
1515	2.72338	0.40364
1516	2.72363	0.40338
1517	2.72389	0.40312
1518	2.72415	0.40285
1519	2.72441	0.40259
1520	2.72466	0.40233
1521	2.72492	0.40207
1522	2.72517	0.4018
1523	2.72542	0.40154
1524	2.72568	0.40128
1525	2.72593	0.40102
1526	2.72618	0.40076
1527	2.72643	0.40049
1528	2.72668	0.40023
1529	2.72693	0.39997
1530	2.72718	0.39971
1531	2.72743	0.39945
1532	2.72767	0.39919
1533	2.72792	0.39893
1534	2.72817	0.39867
1535	2.72841	0.39841
1536	2.72866	0.39815
1537	2.7289	0.39789
1538	2.72914	0.39763
1539	2.72939	0.39737
1540	2.72963	0.39711
1541	2.72987	0.39685
1542	2.73011	0.39659
1543	2.73035	0.39633
1544	2.73059	0.39607
1545	2.73083	0.39581
1546	2.73107	0.39556
1547	2.73131	0.3953
1548	2.73155	0.39504
1549	2.73178	0.39478
1550	2.73202	0.39452
1551	2.73225	0.39427
1552	2.73249	0.39401
1553	2.73272	0.39375
1554	2.73295	0.39349
1555	2.73319	0.39324
1556	2.73342	0.39298
1557	2.73365	0.39272
1558	2.73388	0.39247
1559	2.73411	0.39221
1560	2.73434	0.39196
1561	2.73457	0.3917
1562	2.7348	0.39144
1563	2.73503	0.39119
1564	2.73526	0.39093
1565	2.73548	0.39068
1566	2.73571	0.39042
1567	2.73593	0.39017
1568	2.73616	0.38991
1569	2.73638	0.38966
1570	2.73661	0.3894
1571	2.73683	0.38915
1572	2.73705	0.38889
1573	2.73727	0.38864
1574	2.7375	0.38839
1575	2.73772	0.38813
1576	2.73794	0.38788
1577	2.73815	0.38763
1578	2.73837	0.38737
1579	2.73859	0.38712
1580	2.73881	0.38687
1581	2.73903	0.38662
1582	2.73924	0.38636
1583	2.73946	0.38611
1584	2.73968	0.38586
1585	2.73989	0.38561
1586	2.74011	0.38536
1587	2.74032	0.3851
1588	2.74053	0.38485
1589	2.74075	0.3846
1590	2.74096	0.38435
1591	2.74117	0.3841
1592	2.74138	0.38385
1593	2.74159	0.3836
1594	2.7418	0.38335
1595	2.74201	0.3831
1596	2.74222	0.38285
1597	2.74243	0.3826
1598	2.74264	0.38235
1599	2.74284	0.3821
1600	2.74305	0.38185
1601	2.74326	0.38161
1602	2.74346	0.38136
1603	2.74367	0.38111
1604	2.74387	0.38086
1605	2.74408	0.38061
1606	2.74428	0.38037
1607	2.74448	0.38012
1608	2.74469	0.37987
1609	2.74489	0.37962
1610	2.74509	0.37938
1611	2.74529	0.37913
1612	2.74549	0.37888
1613	2.74569	0.37864
1614	2.74589	0.37839
1615	2.74609	0.37814
1616	2.74629	0.3779
1617	2.74648	0.37765
1618	2.74668	0.37741
1619	2.74688	0.37716
1620	2.74707	0.37692
1621	2.74727	0.37667
1622	2.74747	0.37643
1623	2.74766	0.37618
1624	2.74785	0.37594
1625	2.74805	0.37569
1626	2.74824	0.37545
1627	2.74843	0.37521
1628	2.74863	0.37496
1629	2.74882	0.37472
1630	2.74901	0.37448
1631	2.7492	0.37423
1632	2.74939	0.37399
1633	2.74958	0.37375
1634	2.74977	0.37351
1635	2.74996	0.37327
1636	2.75014	0.37302
1637	2.75033	0.37278
1638	2.75052	0.37254
1639	2.75071	0.3723
1640	2.75089	0.37206
1641	2.75108	0.37182
1642	2.75126	0.37158
1643	2.75145	0.37134
1644	2.75163	0.3711
1645	2.75182	0.37086
1646	2.752	0.37062
1647	2.75218	0.37038
1648	2.75237	0.37014
1649	2.75255	0.3699
1650	2.75273	0.36966
1651	2.75291	0.36942
1652	2.75309	0.36918
1653	2.75327	0.36894
1654	2.75345	0.36871
1655	2.75363	0.36847
1656	2.75381	0.36823
1657	2.75399	0.36799
1658	2.75417	0.36776
1659	2.75434	0.36752
1660	2.75452	0.36728
1661	2.7547	0.36704
1662	2.75487	0.36681
1663	2.75505	0.36657
1664	2.75522	0.36634
1665	2.7554	0.3661
1666	2.75557	0.36586
1667	2.75575	0.36563
1668	2.75592	0.36539
1669	2.75609	0.36516
1670	2.75626	0.36492
1671	2.75644	0.36469
1672	2.75661	0.36445
1673	2.75678	0.36422
1674	2.75695	0.36399
1675	2.75712	0.36375
1676	2.75729	0.36352
1677	2.75746	0.36329
1678	2.75763	0.36305
1679	2.7578	0.36282
1680	2.75796	0.36259
1681	2.75813	0.36235
1682	2.7583	0.36212
1683	2.75847	0.36189
1684	2.75863	0.36166

